Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Images,Tax status,Tax class
simple,TG-18,When You Doubt Yourself,1,0,visible,"""When You Doubt Yourself"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""When You Doubt Yourself"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Encouragement. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Encouragement,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/18-at-times-you-might-doubt-yourself-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/18-at-times-you-might-doubt-yourself-inside.webp",taxable,
simple,TG-20,The Race Is On,1,0,visible,"""The Race Is On"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""The Race Is On"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Get Well. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Get Well,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/20-get-well-race-is-on-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/20-get-well-race-is-on-inside.webp",taxable,
simple,TG-21,The Checklist,1,0,visible,"""The Checklist"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""The Checklist"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Just Because. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Just Because,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/21-checklist-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/21-checklist-inside.webp",taxable,
simple,TG-23,Tips for a New Husband,1,0,visible,"""Tips for a New Husband"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Tips for a New Husband"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Congratulations. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Congratulations,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/23-tips-new-husband-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/23-tips-new-husband-inside.webp",taxable,
simple,TG-24,It's a Boy!,1,0,visible,"""It's a Boy!"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""It's a Boy!"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: New Baby. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > New Baby,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/24-its-a-boy-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/24-its-a-boy-inside.webp",taxable,
simple,TG-25,It's a Girl!,1,0,visible,"""It's a Girl!"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""It's a Girl!"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: New Baby. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > New Baby,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/25-its-a-girl-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/25-its-a-girl-inside.webp",taxable,
simple,TG-26,When I Don't Know What to Do,1,0,visible,"""When I Don't Know What to Do"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""When I Don't Know What to Do"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Encouragement. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Encouragement,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/26-when-i-dont-know-what-to-do-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/26-when-i-dont-know-what-to-do-inside.webp",taxable,
simple,TG-28,It's a Girl — Joyful Twirl,1,0,visible,"""It's a Girl — Joyful Twirl"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""It's a Girl — Joyful Twirl"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: New Baby. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > New Baby,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/28-its-a-girl-joyful-twirl-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/28-its-a-girl-joyful-twirl-inside.webp",taxable,
simple,TG-29,Little Lad So Glad,1,0,visible,"""Little Lad So Glad"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Little Lad So Glad"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: New Baby. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > New Baby,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/29-little-lad-so-glad-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/29-little-lad-so-glad-inside.webp",taxable,
simple,TG-30,Goodbye (Onion Tears),1,0,visible,"""Goodbye (Onion Tears)"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Goodbye (Onion Tears)"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Miss You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Miss You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/30-goodbye-onion-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/30-goodbye-onion-inside.webp",taxable,
simple,TG-31,Miss You — Urgent!,1,0,visible,"""Miss You — Urgent!"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Miss You — Urgent!"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Miss You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Miss You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/31-miss-you-urgent-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/31-miss-you-urgent-inside.webp",taxable,
simple,TG-33,It's Not About the Location,1,0,visible,"""It's Not About the Location"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""It's Not About the Location"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: New Home. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > New Home,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/33-new-home-not-about-location-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/33-new-home-not-about-location-inside.webp",taxable,
simple,TG-34,Welcome Home,1,0,visible,"""Welcome Home"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Welcome Home"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: New Home. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > New Home,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/34-new-home-welcome-home-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/34-new-home-welcome-home-inside.webp",taxable,
simple,TG-36,Just Taking the Time,1,0,visible,"""Just Taking the Time"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Just Taking the Time"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/36-thank-you-just-taking-the-time-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/36-thank-you-just-taking-the-time-inside.webp",taxable,
simple,TG-38,"Zip It, Thank You",1,0,visible,"""Zip It, Thank You"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Zip It, Thank You"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/38-thank-you-mouth-zipper-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/38-thank-you-mouth-zipper-inside.webp",taxable,
simple,TG-39,Receiving Gifts Is Fun,1,0,visible,"""Receiving Gifts Is Fun"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Receiving Gifts Is Fun"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/39-receiving-gifts-are-fun-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/39-receiving-gifts-are-fun-inside.webp",taxable,
simple,TG-40,The Mirror,1,0,visible,"""The Mirror"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""The Mirror"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Encouragement. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Encouragement,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/40-instruction-manual-mirror-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/40-instruction-manual-mirror-inside.webp",taxable,
simple,TG-41,Things Only You Are Good At,1,0,visible,"""Things Only You Are Good At"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Things Only You Are Good At"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Just Because. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Just Because,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/41-things-only-you-good-at-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/41-things-only-you-good-at-inside.webp",taxable,
simple,TG-42,The Greatest Gift I Ever Got,1,0,visible,"""The Greatest Gift I Ever Got"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""The Greatest Gift I Ever Got"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Just Because. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Just Because,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/42-greatest-gift-i-ever-got-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/42-greatest-gift-i-ever-got-inside.webp",taxable,
simple,TG-44,Hope That...,1,0,visible,"""Hope That..."" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Hope That..."" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Encouragement. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Encouragement,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/44-hope-that-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/44-hope-that-inside.webp",taxable,
simple,TG-45,One Thing at a Time,1,0,visible,"""One Thing at a Time"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""One Thing at a Time"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Encouragement. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Encouragement,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/45-one-thing-at-a-time-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/45-one-thing-at-a-time-inside.webp",taxable,
simple,TG-46,The Perfect Combination,1,0,visible,"""The Perfect Combination"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""The Perfect Combination"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Just Because. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Just Because,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/46-perfect-combination-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/46-perfect-combination-inside.webp",taxable,
simple,TG-47,Thank You (Phone Bill),1,0,visible,"""Thank You (Phone Bill)"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Thank You (Phone Bill)"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/47-thank-you-phone-bill-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/47-thank-you-phone-bill-inside.webp",taxable,
simple,TG-48,Sisters Are the Greatest Gift,1,0,visible,"""Sisters Are the Greatest Gift"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Sisters Are the Greatest Gift"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Family. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Family,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/48-sisters-are-the-greatest-gift-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/48-sisters-are-the-greatest-gift-inside.webp",taxable,
simple,TG-49,So Proud of You,1,0,visible,"""So Proud of You"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""So Proud of You"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Congratulations. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Congratulations,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/49-several-reasons-proud-of-you-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/49-several-reasons-proud-of-you-inside.webp",taxable,
simple,TG-50,No One Like You,1,0,visible,"""No One Like You"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""No One Like You"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Just Because. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Just Because,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/50-no-one-like-you-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/50-no-one-like-you-inside.webp",taxable,
simple,TG-52,Don't Think Old,1,0,visible,"""Don't Think Old"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Don't Think Old"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/52-bday-think-old-cause-bday-here-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/52-bday-think-old-cause-bday-here-inside.webp",taxable,
simple,TG-54,Personal Info Leaked,1,0,visible,"""Personal Info Leaked"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Personal Info Leaked"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/54-bday-personal-info-leaked-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/54-bday-personal-info-leaked-inside.webp",taxable,
simple,TG-55,Unless You're a Banana,1,0,visible,"""Unless You're a Banana"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Unless You're a Banana"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Birthday. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Birthday,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/55-bday-unless-banana-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/55-bday-unless-banana-inside.webp",taxable,
simple,TG-57,Reaching a New Stage,1,0,visible,"""Reaching a New Stage"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Reaching a New Stage"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Congratulations. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Congratulations,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/57-congrats-reaching-new-stage-in-life-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/57-congrats-reaching-new-stage-in-life-inside.webp",taxable,
simple,TG-58,Right on Target,1,0,visible,"""Right on Target"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Right on Target"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Congratulations. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Congratulations,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/58-congrats-target-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/58-congrats-target-inside.webp",taxable,
simple,TG-59,Get Well (Global Warming),1,0,visible,"""Get Well (Global Warming)"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Get Well (Global Warming)"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Get Well. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Get Well,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/59-get-well-global-warming-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/59-get-well-global-warming-inside.webp",taxable,
simple,TG-61,Adventurous Travels,1,0,visible,"""Adventurous Travels"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Adventurous Travels"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Just Because. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Just Because,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/61-traveling-adventurous-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/61-traveling-adventurous-inside.webp",taxable,
simple,TG-63,It's Not How Big the House Is,1,0,visible,"""It's Not How Big the House Is"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""It's Not How Big the House Is"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: New Home. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > New Home,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/63-new-home-not-how-big-house-is-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/63-new-home-not-how-big-house-is-inside.webp",taxable,
simple,TG-65,Thanks for Being There,1,0,visible,"""Thanks for Being There"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Thanks for Being There"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/65-thank-you-such-a-hard-time-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/65-thank-you-such-a-hard-time-inside.webp",taxable,
simple,TG-67,"You & Me, Equal",1,0,visible,"""You & Me, Equal"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""You & Me, Equal"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Thank You. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Thank You,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/67-thank-you-you-me-equal-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/67-thank-you-you-me-equal-inside.webp",taxable,
simple,TG-68,Mother,1,0,visible,"""Mother"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside.","""Mother"" — a witty, hand-illustrated greeting card by Trademark Greetings. Front cover shown; the message is inside. Category: Family. Blank envelope included. Sold individually.",1,100,3.95,Greeting Cards > Family,"https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/68-mother-front.webp, https://raw.githubusercontent.com/jgffyjbv/trademarkgreetings/main/assets/cards/68-mother-inside.webp",taxable,
